State,Confirmed,Recovered,Active,Population
Andaman and Nicobar Islands,212,159,52,380581
Andhra Pradesh,58668,25574,32336,49386799
Arunachal Pradesh,858,303,552,1383727
Assam,26773,18034,8667,31205576
Bihar,28564,18741,9624,104099452
Chandigarh,751,518,221,1055450
Chhattisgarh,5731,4114,1588,25545198
Dadra and Nagar Haveli and Daman and Diu,739,475,252,343709
Delhi,125096,106118,15288,243247
Goa,4027,2449,1552,16787941
Gujarat,50465,36504,11761,1458545
Haryana,27462,20952,6146,60439692
Himachal Pradesh,1664,1077,561,25351462
Jammu and Kashmir,15258,8455,6540,6864602
Jharkhand,6195,2942,3192,12541302
Karnataka,71069,25460,44136,32988134
Kerala,13995,5890,8056,61095297
Ladakh,1198,1010,186,33406061
Lakshadweep,0,0,0,64473
Madhya Pradesh,24095,16257,7082,72626809
Maharashtra,327031,182217,132236,112374333
Manipur,2015,1384,631,2855794
Meghalaya,490,70,416,2966889
Mizoram,317,168,149,1097206
Nagaland,1087,485,602,1978502
Odisha,19835,13310,6392,41974218
Puducherry,2300,1369,900,1247953
Punjab,10889,7389,3237,27743338
Rajasthan,31373,22744,8052,68548437
Sikkim,343,108,222,610577
Tamil Nadu,180643,126670,51347,72147030
Telangana,47704,36385,10890,35193978
Tripura,3347,1926,1399,3673917
Uttar Pradesh,53288,31855,20204,199812341
Uttarakhand,4849,3297,1459,10086292
West Bengal,47030,28035,17813,91276115
